fromNode	toNode	weight	direction	fromAltName	toAltName
ENSG00000086758.15	ENSG00000125107.17	0.067203056894675	undirected	HUWE1	CNOT1
ENSG00000086758.15	ENSG00000115464.14	0.0242050537597724	undirected	HUWE1	USP34
ENSG00000086758.15	ENSG00000048707.13	0.0403927517209337	undirected	HUWE1	VPS13D
ENSG00000086758.15	ENSG00000128731.15	0.023865283444484	undirected	HUWE1	HERC2
ENSG00000086758.15	ENSG00000159140.19	0.0367543222984668	undirected	HUWE1	SON
ENSG00000086758.15	ENSG00000198793.12	0.0292126997937371	undirected	HUWE1	MTOR
ENSG00000086758.15	ENSG00000197102.10	0.029645766674292	undirected	HUWE1	DYNC1H1
ENSG00000086758.15	ENSG00000130723.18	0.0241060046451452	undirected	HUWE1	PRRC2B
ENSG00000125107.17	ENSG00000115464.14	0.0719978879185631	undirected	CNOT1	USP34
ENSG00000125107.17	ENSG00000048707.13	0.0279900855968764	undirected	CNOT1	VPS13D
ENSG00000125107.17	ENSG00000159140.19	0.0224712715410176	undirected	CNOT1	SON
ENSG00000125107.17	ENSG00000116539.12	0.0495972317417974	undirected	CNOT1	ASH1L
ENSG00000125107.17	ENSG00000181555.20	0.0212519183864759	undirected	CNOT1	SETD2
ENSG00000125107.17	ENSG00000110344.9	0.0213173217984336	undirected	CNOT1	UBE4A
ENSG00000125107.17	ENSG00000130723.18	0.0235771081506776	undirected	CNOT1	PRRC2B
ENSG00000115464.14	ENSG00000159140.19	0.0374099515448301	undirected	USP34	SON
ENSG00000115464.14	ENSG00000116539.12	0.0954979392154782	undirected	USP34	ASH1L
ENSG00000115464.14	ENSG00000181555.20	0.0504252806749207	undirected	USP34	SETD2
ENSG00000115464.14	ENSG00000110344.9	0.0271960287896799	undirected	USP34	UBE4A
ENSG00000115464.14	ENSG00000164151.11	0.0287481692190685	undirected	USP34	ICE1
ENSG00000115464.14	ENSG00000115760.13	0.0546650488706362	undirected	USP34	BIRC6
ENSG00000048707.13	ENSG00000128731.15	0.0227173386390807	undirected	VPS13D	HERC2
ENSG00000048707.13	ENSG00000159140.19	0.0203715776349572	undirected	VPS13D	SON
ENSG00000128731.15	ENSG00000165671.19	0.0218965022582783	undirected	HERC2	NSD1
ENSG00000128731.15	ENSG00000198793.12	0.0311292806960266	undirected	HERC2	MTOR
ENSG00000128731.15	ENSG00000160299.16	0.0241874685101675	undirected	HERC2	PCNT
ENSG00000159140.19	ENSG00000116539.12	0.0223317206729765	undirected	SON	ASH1L
ENSG00000159140.19	ENSG00000164151.11	0.0327404435558371	undirected	SON	ICE1
ENSG00000170471.14	ENSG00000143970.16	0.0268468290958985	undirected	RALGAPB	ASXL2
ENSG00000198793.12	ENSG00000080603.16	0.0206420556658359	undirected	MTOR	SRCAP
ENSG00000116539.12	ENSG00000181555.20	0.0754335427208606	undirected	ASH1L	SETD2
ENSG00000116539.12	ENSG00000164151.11	0.0235952575051348	undirected	ASH1L	ICE1
ENSG00000116539.12	ENSG00000115760.13	0.0405553079088448	undirected	ASH1L	BIRC6
ENSG00000188786.9	ENSG00000099942.12	0.0240344616489144	undirected	MTF1	CRKL
