nodeName	altName	KME	hubGenes	sub_clusters
ENSG00000086758.15	HUWE1	0.865457520922547	1	1
ENSG00000125107.17	CNOT1	0.861972367108224	1	1
ENSG00000115464.14	USP34	0.843434870190587	1	1
ENSG00000048707.13	VPS13D	0.814290710140207	0	1
ENSG00000128731.15	HERC2	0.813389603411428	0	1
ENSG00000159140.19	SON	0.798894869114218	0	1
ENSG00000165671.19	NSD1	0.795948891049101	0	1
ENSG00000170471.14	RALGAPB	0.795694833211666	0	1
ENSG00000198793.12	MTOR	0.795651535057233	0	1
ENSG00000116539.12	ASH1L	0.78895147987554	1	1
ENSG00000181555.20	SETD2	0.78603096652544	1	1
ENSG00000197102.10	DYNC1H1	0.774545424258228	0	2
ENSG00000080603.16	SRCAP	0.754846595160678	0	1
ENSG00000110344.9	UBE4A	0.754273942256074	0	1
ENSG00000188786.9	MTF1	0.749984389582639	0	1
ENSG00000143970.16	ASXL2	0.748877133931773	0	1
ENSG00000164151.11	ICE1	0.721560732189836	0	1
ENSG00000099942.12	CRKL	0.715447787538725	0	1
ENSG00000130723.18	PRRC2B	0.713823518505623	0	1
ENSG00000115760.13	BIRC6	0.707979047320105	0	1
ENSG00000160299.16	PCNT	0.65947794488172	0	2
